tanggal,magnitudo_forecast,kedalaman_forecast,provinsi_forecast
2024-05-25,4.2523694,40.31375,Maluku Utara
2024-05-26,4.2379985,12.583759,Maluku Utara
2024-05-27,4.668594,255.55646,Nusa Tenggara Timur
2024-05-28,4.023309,137.28215,Nusa Tenggara Timur
2024-05-29,4.2479706,79.122,Maluku
2024-05-30,4.1461854,79.45736,Maluku Utara
2024-05-31,4.4065223,117.863,Sumatra Utara
2024-06-01,4.3717318,171.90161,Maluku
2024-06-02,4.6718507,87.40471,Sumatra Selatan
2024-06-03,4.9143558,9.036114,Aceh
2024-06-04,4.4925423,128.63124,Maluku
2024-06-05,4.4512467,49.169422,Maluku
2024-06-06,4.4640646,106.153885,Nusa Tenggara Timur
2024-06-07,4.8349895,200.02463,Sumatra Utara
2024-06-08,4.061043,-2.074581,Maluku Utara
2024-06-09,4.267987,126.53338,Maluku
2024-06-10,4.817891,75.99091,Maluku Utara
2024-06-11,4.647665,193.82985,Maluku Utara
2024-06-12,4.387655,44.90745,Sulawesi Utara
2024-06-13,4.9055576,17.55164,Jawa Barat
2024-06-14,5.29799,0.30351654,Jawa Barat
2024-06-15,4.6671767,95.06887,Lampung
2024-06-16,4.158237,-20.744892,Lampung
2024-06-17,4.9655004,197.54341,Maluku
2024-06-18,4.7242007,69.59134,Nusa Tenggara Timur
2024-06-19,4.5353136,132.13658,Sulawesi Utara
2024-06-20,4.957056,43.84581,Bali
2024-06-21,4.5654626,109.419716,Sulawesi Utara
2024-06-22,4.293044,51.8295,Maluku Utara
2024-06-23,4.3166323,-46.630733,Maluku Utara
2024-06-24,4.663236,209.46948,Sulawesi Utara
2024-06-25,3.7420225,44.81184,Sumatra Utara
2024-06-26,5.027531,32.104256,Maluku
2024-06-27,4.800788,-63.00739,Maluku Utara
2024-06-28,4.0923185,-47.589085,Maluku
2024-06-29,4.9090586,64.783165,Nusa Tenggara Barat
2024-06-30,4.7297573,-71.86508,Maluku Utara
2024-07-01,4.5061984,47.76514,Sulawesi Tengah
2024-07-02,4.1256976,170.02487,Sulawesi Utara
2024-07-03,4.094645,18.06633,Jawa Timur
2024-07-04,4.8100557,192.97536,Jawa Barat
2024-07-05,4.33863,-37.88209,Papua
2024-07-06,4.3218274,230.12479,Maluku
