"Duration","Amplitude","Type"
"60.8","4","ROCKFALL"
"71.32","4","ROCKFALL"
"74.24","3","ROCKFALL"
"55.16","3","ROCKFALL"
"148.84","5","ROCKFALL"
"103.76","6","ROCKFALL"
"146.28","25","ROCKFALL"
"78.44","8","ROCKFALL"
"79.68","7","ROCKFALL"
"68.2","3","ROCKFALL"
"61.24","3","ROCKFALL"
"95.84","11","ROCKFALL"
"97.2","7","ROCKFALL"
"56.76","6","ROCKFALL"
"82.04","3","ROCKFALL"
"72.64","3","ROCKFALL"
"54.72","3","ROCKFALL"
"51.6","3","ROCKFALL"
"102.08","3","ROCKFALL"
"91.6","3","ROCKFALL"
"81.72","4","ROCKFALL"
"77.28","11","ROCKFALL"
"35.76","6","ROCKFALL"
"72.28","12","ROCKFALL"
"73.88","4","ROCKFALL"
"65.36","3","ROCKFALL"
"70.88","9","ROCKFALL"
"90.32","12","ROCKFALL"
"101.52","6","ROCKFALL"
"86.84","6","ROCKFALL"
"66.76","3","ROCKFALL"
"87.8","3","ROCKFALL"
"61.28","7","ROCKFALL"
"98.6","3","ROCKFALL"
"72.12","3","ROCKFALL"
"47.52","3","ROCKFALL"
"5.6","3","MP"
"60.48","5","ROCKFALL"
"89.44","26","ROCKFALL"
"12.28","6","ROCKFALL"
"46.56","3","ROCKFALL"
"6.36","6","MP"
"94.96","4","ROCKFALL"
"63.64","4","ROCKFALL"
"27.4","7","ROCKFALL"
"78.84","4","ROCKFALL"
"20.4","4","ROCKFALL"
"84.48","8","ROCKFALL"
"74.24","4","ROCKFALL"
"60.84","4","ROCKFALL"
"64.16","4","ROCKFALL"
"22.52","4","ROCKFALL"
"59.32","3","ROCKFALL"
"37.88","3","ROCKFALL"
"62.8","4","ROCKFALL"
"50.04","5","ROCKFALL"
"38.52","4","ROCKFALL"
"63.16","7","ROCKFALL"
"94.8","5","ROCKFALL"
"96.28","11","ROCKFALL"
"38.12","5","ROCKFALL"
"43.6","4","ROCKFALL"
"34.84","4","ROCKFALL"
"33.88","4","ROCKFALL"
"66.76","4","ROCKFALL"
"51.56","3","TECT"
"95.56","22","ROCKFALL"
"84.44","26","ROCKFALL"
"29.24","3","ROCKFALL"
"91.24","21","ROCKFALL"
"53.76","4","TECT"
"50.16","4","ROCKFALL"
"71.28","9","ROCKFALL"
"51.24","6","ROCKFALL"
"80.88","4","ROCKFALL"
"76.36","4","ROCKFALL"
"68.08","6","ROCKFALL"
"66.72","7","ROCKFALL"
"38.88","3","ROCKFALL"
"88.36","3","ROCKFALL"
"92","6","ROCKFALL"
"98.04","8","ROCKFALL"
"92.2","20","ROCKFALL"
"88.6","13","ROCKFALL"
"73.52","11","ROCKFALL"
"81.24","7","ROCKFALL"
"124.56","7","ROCKFALL"
"118.36","4","ROCKFALL"
"106.16","5","ROCKFALL"
"107.8","10","ROCKFALL"
"85.76","23","ROCKFALL"
"8.2","5","MP"
"78.68","5","ROCKFALL"
"101","4","ROCKFALL"
"101.68","8","ROCKFALL"
"70.96","21","ROCKFALL"
"63.48","7","ROCKFALL"
"77.8","3","ROCKFALL"
"73.64","3","ROCKFALL"
"113.72","12","TECT"
"20.28","5","ROCKFALL"
"73.12","7","ROCKFALL"
"86.88","8","ROCKFALL"
"101.44","3","ROCKFALL"
"132.52","4","ROCKFALL"
"101.08","10","ROCKFALL"
"116.36","6","ROCKFALL"
"112.68","11","ROCKFALL"
"85.36","8","ROCKFALL"
"102.24","6","ROCKFALL"
"121.36","18","ROCKFALL"
"123.16","6","ROCKFALL"
"126.56","23","ROCKFALL"
"117.52","17","ROCKFALL"
"118","12","ROCKFALL"
"134.16","3","ROCKFALL"
"110.16","21","ROCKFALL"
"81.4","10","ROCKFALL"
"92.8","9","ROCKFALL"
"79.8","7","ROCKFALL"
"84.64","6","ROCKFALL"
"86.52","13","ROCKFALL"
"91.04","6","ROCKFALL"
"139.36","3","ROCKFALL"
"134.92","29","ROCKFALL"
"179.32","10","ROCKFALL"
"31.4","3","ROCKFALL"
"51.8","5","ROCKFALL"
"62.64","3","ROCKFALL"
"79.56","3","ROCKFALL"
"11.04","8","LF"
"94.6","3","ROCKFALL"
"105.2","10","ROCKFALL"
"44.12","3","ROCKFALL"
"80.72","18","ROCKFALL"
"88.44","5","ROCKFALL"
"95.4","14","ROCKFALL"
"215.72","12","ROCKFALL"
"123.88","6","ROCKFALL"
"103.28","13","ROCKFALL"
"125.2","4","ROCKFALL"
"115.04","8","ROCKFALL"
"218.36","15","ROCKFALL"
"39.72","3","ROCKFALL"
"146.32","4","ROCKFALL"
"17.36","3","ROCKFALL"
"108.56","9","ROCKFALL"
"37.96","3","ROCKFALL"
"63.44","4","ROCKFALL"
"52.76","18","ROCKFALL"
"94.16","11","ROCKFALL"
"154.84","19","ROCKFALL"
"52.88","5","ROCKFALL"
"109.68","9","ROCKFALL"
"113.36","20","ROCKFALL"
"86.04","8","ROCKFALL"
"76.44","23","ROCKFALL"
"75.36","8","ROCKFALL"
"147.48","3","ROCKFALL"
"78.04","7","ROCKFALL"
"68.52","6","ROCKFALL"
"86.36","5","ROCKFALL"
"83.84","4","ROCKFALL"
"114.92","6","ROCKFALL"
"74.56","4","ROCKFALL"
"54.4","4","ROCKFALL"
"84.28","7","ROCKFALL"
"151.28","8","ROCKFALL"
"85.2","3","ROCKFALL"
"62.44","6","ROCKFALL"
"96.88","11","ROCKFALL"
"85.88","4","ROCKFALL"
"7.2","3","MP"
"103.96","10","ROCKFALL"
"26","7","ROCKFALL"
"141.28","11","ROCKFALL"
"113.16","7","ROCKFALL"
"104","8","ROCKFALL"
"84.84","5","ROCKFALL"
"105.36","6","ROCKFALL"
"131.44","23","ROCKFALL"
"98.72","12","ROCKFALL"
"80.88","6","ROCKFALL"
"90.56","6","ROCKFALL"
"99.68","11","ROCKFALL"
"50.52","3","ROCKFALL"
"98.76","3","ROCKFALL"
"84.36","3","ROCKFALL"
"95.52","10","ROCKFALL"
"151.84","5","ROCKFALL"
"67.64","5","ROCKFALL"
"102.6","5","ROCKFALL"
"86.16","6","ROCKFALL"
"19.88","5","ROCKFALL"
"67.84","6","ROCKFALL"
"64.44","10","ROCKFALL"
"61.56","26","ROCKFALL"
"82.92","3","ROCKFALL"
"63.48","4","ROCKFALL"
"150.4","19","ROCKFALL"
"173.72","17","ROCKFALL"
"71.52","8","ROCKFALL"
"74.2","3","ROCKFALL"
"100.16","3","ROCKFALL"
"16.56","5","ROCKFALL"
"8.64","3","MP"
"99.12","3","ROCKFALL"
"74.84","10","ROCKFALL"
"69.84","5","ROCKFALL"
"85.92","5","ROCKFALL"
"190.4","26","ROCKFALL"
"94.6","4","ROCKFALL"
"55.84","3","ROCKFALL"
"119.72","7","ROCKFALL"
"35.92","8","ROCKFALL"
"51.44","3","ROCKFALL"
"130.84","20","ROCKFALL"
"82.16","5","ROCKFALL"
"106.48","8","ROCKFALL"
"118.92","25","ROCKFALL"
"94.64","10","ROCKFALL"
"110.12","4","ROCKFALL"
"82.16","4","ROCKFALL"
"73.92","4","ROCKFALL"
"107.44","15","ROCKFALL"
"127.48","10","ROCKFALL"
"110.36","7","ROCKFALL"
"40.32","3","ROCKFALL"
"118.44","3","ROCKFALL"
"121.84","3","ROCKFALL"
"126.2","5","ROCKFALL"
"66.92","4","ROCKFALL"
"161.28","18","ROCKFALL"
"112.44","4","ROCKFALL"
"109.32","5","ROCKFALL"
"151.24","4","ROCKFALL"
"62.72","3","ROCKFALL"
"61.36","5","ROCKFALL"
"100.2","11","ROCKFALL"
"64.72","3","ROCKFALL"
"80.44","3","ROCKFALL"
"98.64","4","ROCKFALL"
"152.28","43","ROCKFALL"
"51.52","3","ROCKFALL"
"72.64","4","ROCKFALL"
"88.24","5","ROCKFALL"
"51.92","3","ROCKFALL"
"118.76","10","ROCKFALL"
"82","5","ROCKFALL"
"149.68","7","ROCKFALL"
"130.44","6","ROCKFALL"
"203.04","16","ROCKFALL"
"139.44","8","ROCKFALL"
"119.04","24","ROCKFALL"
"161.12","18","ROCKFALL"
"96.96","3","ROCKFALL"
"79.16","3","ROCKFALL"
"203.04","5","ROCKFALL"
"16.8","3","ROCKFALL"
"105.64","3","ROCKFALL"
"106.96","3","ROCKFALL"
"122.2","8","ROCKFALL"
"129.24","4","ROCKFALL"
"71","3","ROCKFALL"
"77.56","8","ROCKFALL"
"98.48","4","ROCKFALL"
"67.92","3","ROCKFALL"
"81.12","3","ROCKFALL"
"42.48","3","ROCKFALL"
"48.08","3","ROCKFALL"
"112.68","11","ROCKFALL"
"167.76","4","ROCKFALL"
"203.44","22","ROCKFALL"
"113.72","9","ROCKFALL"
"126.12","38","ROCKFALL"
"47.88","3","ROCKFALL"
"76.48","3","ROCKFALL"
"77.04","3","ROCKFALL"
"95.12","3","ROCKFALL"
"108.52","10","ROCKFALL"
"75.56","4","ROCKFALL"
"26.24","4","ROCKFALL"
"99.88","4","ROCKFALL"
"73.4","4","ROCKFALL"
"103","30","ROCKFALL"
"105.96","6","ROCKFALL"
"99.6","12","ROCKFALL"
"68.32","7","ROCKFALL"
"55.12","3","ROCKFALL"
"35.48","3","ROCKFALL"
"93.24","8","ROCKFALL"
"77.36","5","ROCKFALL"
"63.68","3","ROCKFALL"
"50.24","3","ROCKFALL"
"85","5","ROCKFALL"
"85.24","5","ROCKFALL"
"80.88","3","ROCKFALL"
"68.16","4","ROCKFALL"
"76.4","3","ROCKFALL"
"71.44","4","ROCKFALL"
"119.48","22","TECT"
"79.8","6","ROCKFALL"
"79.92","4","ROCKFALL"
"75.92","4","ROCKFALL"
"14.72","3","ROCKFALL"
"127.72","6","ROCKFALL"
"109.84","5","ROCKFALL"
"115.88","18","ROCKFALL"
"137.32","5","ROCKFALL"
"106.2","9","ROCKFALL"
"179","7","ROCKFALL"
"110.36","5","ROCKFALL"
"160.8","15","ROCKFALL"
"160.92","6","ROCKFALL"
"95.8","6","ROCKFALL"
"103.48","4","ROCKFALL"
"68.32","3","ROCKFALL"
"103","7","ROCKFALL"
"7.52","3","MP"
"133.4","12","ROCKFALL"
"120.76","19","ROCKFALL"
"91.88","4","ROCKFALL"
"183.32","21","ROCKFALL"
"8.8","3","LF"
"88.56","14","ROCKFALL"
"84.72","8","ROCKFALL"
"110.08","4","ROCKFALL"
"90.32","3","ROCKFALL"
"80.68","5","ROCKFALL"
"103.68","5","ROCKFALL"
"131.16","7","ROCKFALL"
"104.64","4","ROCKFALL"
"91.8","4","ROCKFALL"
"106.16","27","ROCKFALL"
"139.16","4","ROCKFALL"
"118.6","8","ROCKFALL"
"40.8","5","ROCKFALL"
"69.16","4","ROCKFALL"
"101.8","5","ROCKFALL"
